client_id,datetime,code,type,amount,target,type_description,code_description
16004843,245 22:10:18,5411,1010,-7928.08,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
20873616,433 07:44:21,4814,1030,-56.15,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
65231233,164 15:58:23,5411,1010,-4689.47,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
29536165,413 11:47:51,5411,1010,-3703.52,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
66473821,280 05:17:26,6010,7030,67377.47,1,Перевод на карту (с карты) через АТМ (в пределах одного тер.банка),Финансовые институты — снятие наличности вручную
87252636,210 17:57:24,6010,7071,37484.33,0,Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя),Финансовые институты — снятие наличности вручную
12925117,280 16:51:39,5499,1010,-4065.11,1,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
46272734,274 05:20:12,4829,2330,-112295.79,0,Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного тер.банка),Денежные переводы
36694774,330 07:46:53,4814,1030,-6737.75,0,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
34147053,189 00:00:00,6012,6110,222345.66,0,Возврат покупки. POS ,Финансовые институты — торговля и услуги
37134646,378 10:18:44,6011,2010,-8983.66,1,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
51052611,332 17:29:24,6010,2021,-78607.05,1,Выдача наличных через POS банка (в других ТБ),Финансовые институты — снятие наличности вручную
68813350,378 08:06:36,4829,2370,-112295.79,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
45249788,115 11:03:18,6010,7031,224591.58,0,Перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ),Финансовые институты — снятие наличности вручную
20993674,15 11:15:01,6011,2010,-112295.79,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
84801428,6 12:59:26,5499,1010,-2576.07,0,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
370258,257 20:37:35,6010,7070,67377.47,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
57224158,349 04:50:45,6010,7070,9432.85,1,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
30737905,222 17:27:55,5977,1010,-20680.39,0,Покупка. POS ,Магазины косметики
5030933,102 14:40:52,5411,1010,-31085.27,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
5591410,429 11:50:25,5411,1110,-5816.92,0,Покупка. POS ,"Бакалейные магазины, супермаркеты"
6419331,434 17:38:21,5499,1010,-1392.47,1,Покупка. POS ,"Различные продовольственные магазины — рынки, магазины со спец-ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов"
55115986,31 13:11:47,6011,7010,359346.52,1,Взнос наличных через АТМ (в своем тер.банке),Финансовые институты — снятие наличности автоматически
44764576,431 19:16:44,4511,1100,-230430.96,1,Покупка.,"Авиалинии, авиакомпании, нигде более не классифицированные"
23566557,188 08:56:16,4814,1030,-4491.83,1,Оплата услуги. Банкоматы,"Звонки с использованием телефонов, считывающих магнитную ленту"
7443671,383 20:29:50,5812,1010,-4244.78,0,Покупка. POS ,"Места общественного питания, рестораны"
19309943,372 11:33:37,5814,1110,-30634.29,1,Покупка. POS ,"Рестораны, закусочные"
23899213,119 08:03:13,6010,7070,25154.26,0,Перевод на карту (с карты) через Мобильный банк (без взимания комиссии с отправителя),Финансовые институты — снятие наличности вручную
49584873,343 15:58:50,6011,2010,-22459.16,0,Выдача наличных в АТМ,Финансовые институты — снятие наличности автоматически
5306200,380 20:20:01,5411,1010,-2293.53,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
56988646,202 14:09:18,5411,1010,-9179.06,1,Покупка. POS ,"Бакалейные магазины, супермаркеты"
11946025,5 08:04:34,5311,1110,-134305.76,0,Покупка. POS ,Универмаги
94574329,436 16:47:42,4829,2370,-2470.51,1,Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (без комиссии),Денежные переводы
79937759,441 10:43:06,5812,1010,-5053.31,1,Покупка. POS ,"Места общественного питания, рестораны"
10171705,272 17:54:01,4829,4071,-112.3,1,Плата за перевод на карту (с карты) через Мобильный банк,Денежные переводы
22564064,367 11:52:47,5691,1010,-11184.66,1,Покупка. POS ,Магазины мужской и женской одежды
