client_id,time,day,month,code,type_description,amount,target
16004843,79818.0,245,8,5411,0,-7928.08,0
20873616,27861.0,433,14,4814,3,-56.15,0
65231233,57503.0,164,5,5411,0,-4689.47,1
29536165,42471.0,413,13,5411,0,-3703.52,1
66473821,19046.0,280,9,6010,1,67377.47,1
87252636,64644.0,210,6,6010,1,37484.33,0
12925117,60699.0,280,9,5499,0,-4065.11,1
46272734,19212.0,274,9,4829,1,-112295.79,0
36694774,28013.0,330,10,4814,3,-6737.75,0
34147053,0.0,189,6,6012,6,222345.66,0
37134646,37124.0,378,12,6011,2,-8983.66,1
51052611,62964.0,332,10,6010,2,-78607.05,1
68813350,29196.0,378,12,4829,1,-112295.79,1
45249788,39798.0,115,3,6010,1,224591.58,0
20993674,40501.0,15,0,6011,2,-112295.79,0
84801428,46766.0,6,0,5499,0,-2576.07,0
370258,74255.0,257,8,6010,1,67377.47,0
57224158,17445.0,349,11,6010,1,9432.85,1
30737905,62875.0,222,7,5977,0,-20680.39,0
5030933,52852.0,102,3,5411,0,-31085.27,0
5591410,42625.0,429,14,5411,0,-5816.92,0
6419331,63501.0,434,14,5499,0,-1392.47,1
55115986,47507.0,31,1,6011,4,359346.52,1
44764576,69404.0,431,14,4511,0,-230430.96,1
23566557,32176.0,188,6,4814,3,-4491.83,1
7443671,73790.0,383,12,5812,0,-4244.78,0
19309943,41617.0,372,12,5814,0,-30634.29,1
23899213,28993.0,119,3,6010,1,25154.26,0
49584873,57530.0,343,11,6011,2,-22459.16,0
5306200,73201.0,380,12,5411,0,-2293.53,1
56988646,50958.0,202,6,5411,0,-9179.06,1
11946025,29074.0,5,0,5311,0,-134305.76,0
94574329,60462.0,436,14,4829,1,-2470.51,1
79937759,38586.0,441,14,5812,0,-5053.31,1
10171705,64441.0,272,8,4829,5,-112.3,1
22564064,42767.0,367,12,5691,0,-11184.66,1
47937805,38275.0,289,9,6011,2,-8983.66,0
25519406,34442.0,432,14,8999,0,-17742.73,1
87902560,41031.0,27,0,4814,3,-1122.96,0
61758325,46773.0,209,6,6011,2,-11229.58,1
84323633,46618.0,183,6,6010,1,4491.83,1
21264160,34431.0,126,4,6011,2,-112295.79,0
30848325,43771.0,267,8,6011,2,-22459.16,0
41227639,61454.0,381,12,4829,1,-22459.16,0
89788126,55369.0,408,13,5411,0,-70409.46,1
4893642,34649.0,436,14,6011,2,-78607.05,1
62253980,67709.0,77,2,6011,2,-22459.16,0
13575882,79307.0,443,14,6010,1,2245.92,0
18872798,17133.0,124,4,4829,1,-1532.84,1
53307951,0.0,363,11,5661,0,-22885.88,0
11585045,70091.0,90,2,4814,3,-1122.96,0
76475250,48036.0,91,3,6011,2,-1347549.46,0
65895165,31767.0,193,6,6010,1,21336.2,0
78066879,75421.0,345,11,5983,0,-22452.64,1
43381506,57778.0,424,13,5812,0,-58169.22,0
96477182,71228.0,422,13,5912,0,-10465.97,0
94426973,33846.0,21,0,4829,5,-673.77,1
48434170,77762.0,441,14,6010,1,2245.92,0
33743239,39213.0,314,10,5411,0,-102697.64,0
44349687,66355.0,44,1,4814,3,-1122.96,0
52674999,54686.0,6,0,6010,4,5951676.8,0
34846340,68630.0,49,1,6011,4,300952.71,0
33709652,37426.0,4,0,4814,3,-22459.16,1
25270793,56038.0,279,9,6010,1,13812.38,1
21376002,55146.0,372,12,5311,0,-1886.57,0
77335574,50216.0,115,3,4814,3,-1347.55,1
6231503,0.0,106,3,5964,0,-9705.73,0
64936619,0.0,69,2,7298,0,-30319.86,0
29801711,0.0,335,11,5411,0,-35283.34,0
16810200,50787.0,289,9,5977,0,-3088.13,1
27024566,62574.0,181,5,4814,3,-2201.0,0
58157369,74741.0,262,8,5912,0,-9915.72,1
91301143,77664.0,204,6,5411,0,-11162.2,0
16920927,56074.0,451,14,5411,0,-3256.58,0
12746283,43477.0,323,10,5411,0,-13089.65,0
8610584,0.0,322,10,4900,0,-62419.61,1
20857038,34977.0,248,8,4829,1,-33688.74,1
99414663,41369.0,35,1,5411,0,-13395.99,0
42093341,47355.0,248,8,6010,1,67377.47,1
11139526,40446.0,408,13,4814,3,-2245.92,0
57523145,35203.0,252,8,4814,3,-1122.96,0
81863717,53984.0,300,9,4829,1,-11229.58,0
82070267,64109.0,20,0,5912,0,-1760.8,1
96626493,55710.0,12,0,5411,0,-23177.85,0
56075018,0.0,293,9,5964,0,-21988.41,1
56694753,31796.0,176,5,6010,1,2245.92,1
8942066,29154.0,315,10,6011,2,-15721.41,1
31360931,0.0,204,6,5411,0,-3514.86,1
85494965,0.0,273,9,5411,0,-12970.16,1
58754755,47473.0,126,4,5812,0,-5614.79,1
20646461,61496.0,30,0,5661,0,-61762.68,1
24644305,43260.0,409,13,6010,1,291969.05,0
94426973,45728.0,170,5,4829,1,-172171.9,0
97837122,30103.0,314,10,6011,2,-29196.91,0
7219212,53107.0,206,6,6011,4,449183.15,1
65526075,34285.0,303,9,6011,2,-6737.75,0
94574329,68804.0,456,15,5411,0,-1163.38,0
35494033,22535.0,175,5,6011,4,999432.52,1
23823898,0.0,449,14,5813,0,-6737.75,0
3743929,0.0,276,9,5074,0,-33464.15,1
78076605,0.0,422,13,5681,0,-44918.32,1
58970569,0.0,296,9,5411,0,-2400.88,1
9897478,50437.0,211,6,5499,0,-6739.32,1
60991319,55152.0,406,13,6011,2,-8983.66,1
87937371,42838.0,304,10,5411,0,-2239.18,0
65221973,0.0,456,15,5541,0,-15362.06,0
43018886,0.0,136,4,5912,0,-6753.92,1
3294989,63913.0,447,14,4814,3,-1122.96,0
69465540,0.0,309,10,5964,0,-880.85,0
71256126,54832.0,134,4,5411,0,-14987.67,1
43506939,37155.0,241,7,5331,0,-1347.55,0
12854702,36864.0,342,11,4829,5,-269.51,1
85861930,28078.0,430,14,6010,1,7074.63,0
56000545,53781.0,160,5,5912,0,-667.04,0
28954627,69735.0,244,8,4814,3,-4491.83,1
93533984,38035.0,318,10,4829,1,-336887.37,0
26604313,40894.0,384,12,6011,4,112295.79,0
36599781,41415.0,306,10,5411,0,-1684.21,0
94018403,55408.0,262,8,5541,0,-22459.16,0
70665012,51748.0,188,6,4814,3,-6737.75,1
70780820,12214.0,434,14,6010,1,15092.55,0
74334566,59790.0,187,6,6011,4,134754.95,0
70780820,20602.0,288,9,6010,1,14149.27,1
59120963,0.0,372,12,5311,6,31397.9,0
81479825,50441.0,28,0,5983,0,-33363.75,0
70780820,40158.0,262,8,6010,1,5322.82,0
